"","units","context","element","taxonid","symmetry","taxongroup","elementtype","variablename","ecologicalgroup","samples","sites"
"2283","NISP",NA,"valve",12424,NA,"Diatoms","valve","Bacillariophyta undet. (centric) sp. 1?","DIAT",13,12
"2284","NISP",NA,"valve",12426,NA,"Diatoms","valve","Undetermined diatom CAF","DIAT",18,17
"2285","NISP",NA,"valve",12427,NA,"Diatoms","valve","Undetermined diatom sp. 1?","DIAT",92,51
"2286","NISP",NA,"valve",12428,NA,"Diatoms","valve","Undetermined diatom sp. 2 ?","DIAT",84,40
"2287","NISP",NA,"valve",12429,NA,"Diatoms","valve","Undetermined diatom sp. 3 ?","DIAT",63,27
"2288","NISP",NA,"valve",12430,NA,"Diatoms","valve","Undetermined diatom sp. 4 ?","DIAT",43,21
"2289","NISP",NA,"valve",12431,NA,"Diatoms","valve","Undetermined diatom sp. 5 ?","DIAT",29,14
"2290","NISP",NA,"valve",12432,NA,"Diatoms","valve","Undetermined diatom sp. 6 ?","DIAT",18,10
"2291","NISP",NA,"valve",12433,NA,"Diatoms","valve","Undetermined diatom sp. 7 ?","DIAT",13,7
"2292","NISP",NA,"valve",12434,NA,"Diatoms","valve","Undetermined diatom sp. 8 ?","DIAT",4,3
"2293","NISP",NA,"valve",12435,NA,"Diatoms","valve","Undetermined diatom sp. 9 ?","DIAT",1,1
"2294","NISP",NA,"valve",12437,NA,"Diatoms","valve","Aneumastus tuscula","DIAT",13,13
"2295","NISP",NA,"valve",12438,NA,"Diatoms","valve","Encyonema minutum","DIAT",475,294
"2296","NISP",NA,"valve",12439,NA,"Diatoms","valve","Encyonema silesiacum","DIAT",324,307
"2297","NISP",NA,"valve",12441,NA,"Diatoms","valve","Encyonema brehmii","DIAT",1,1
"2298","NISP",NA,"valve",12442,NA,"Diatoms","valve","Encyonema gaeumannii","DIAT",75,74
"2299","NISP",NA,"valve",12443,NA,"Diatoms","valve","Encyonema lunatum","DIAT",172,80
"2300","NISP",NA,"valve",12444,NA,"Diatoms","valve","Encyonema muelleri","DIAT",7,7
"2301","NISP",NA,"valve",12445,NA,"Diatoms","valve","Encyonema perpusillum","DIAT",53,52
"2302","NISP",NA,"valve",12447,NA,"Diatoms","valve","Encyonema reichardtii","DIAT",5,5
"2303","NISP",NA,"valve",12449,NA,"Diatoms","valve","Encyonema triangulum","DIAT",23,23
"2304","NISP",NA,"valve",12450,NA,"Diatoms","valve","Encyonema latens","DIAT",7,7
"2305","NISP",NA,"valve",12451,NA,"Diatoms","valve","Encyonema auerswaldii","DIAT",6,6
"2306","NISP",NA,"valve",12452,NA,"Diatoms","valve","Fallacia pygmaea","DIAT",12,12
"2307","NISP",NA,"valve",12453,NA,"Diatoms","valve","Fallacia auriculata","DIAT",1,1
"2308","NISP",NA,"valve",12455,NA,"Diatoms","valve","Fallacia indifferens","DIAT",22,20
"2309","NISP",NA,"valve",12456,NA,"Diatoms","valve","Fallacia monoculata","DIAT",3,3
"2310","NISP",NA,"valve",12457,NA,"Diatoms","valve","Fallacia omissa","DIAT",10,10
"2311","NISP",NA,"valve",12458,NA,"Diatoms","valve","Fallacia subhamulata","DIAT",10,10
"2312","NISP",NA,"valve",12459,NA,"Diatoms","valve","Fallacia tenera","DIAT",12,12
"2313","NISP",NA,"valve",12460,NA,"Diatoms","valve","Karayevia clevei","DIAT",104,102
"2314","NISP",NA,"valve",12461,NA,"Diatoms","valve","Karayevia laterostrata","DIAT",41,41
"2315","NISP",NA,"valve",12462,NA,"Diatoms","valve","Luticola mutica","DIAT",66,65
"2316","NISP",NA,"valve",12463,NA,"Diatoms","valve","Luticola ventricosa","DIAT",2,2
"2317","NISP",NA,"valve",12464,NA,"Diatoms","valve","Luticola cohnii","DIAT",1,1
"2318","NISP",NA,"valve",12465,NA,"Diatoms","valve","Luticola goeppertiana","DIAT",9,9
"2319","NISP",NA,"valve",12471,NA,"Diatoms","valve","Planothidium lanceolatum","DIAT",185,179
"2320","NISP",NA,"valve",12472,NA,"Diatoms","valve","Planothidium peragalli","DIAT",13,13
"2321","NISP",NA,"valve",12473,NA,"Diatoms","valve","Pleurosira laevis","DIAT",2,2
"2322","NISP",NA,"valve",12474,NA,"Diatoms","valve","Sellaphora laevissima","DIAT",264,246
"2323","NISP",NA,"valve",12475,NA,"Diatoms","valve","Sellaphora pupula var. capitata","DIAT",9,9
"2324","NISP",NA,"valve",12476,NA,"Diatoms","valve","Sellaphora pupula","DIAT",435,375
"2325","NISP",NA,"valve",12477,NA,"Diatoms","valve","Sellaphora americana","DIAT",9,9
"2326","NISP",NA,"valve",12478,NA,"Diatoms","valve","Sellaphora bacillum","DIAT",9,9
"2327","NISP",NA,"valve",12479,NA,"Diatoms","valve","Sellaphora disjuncta","DIAT",113,100
"2328","NISP",NA,"valve",12480,NA,"Diatoms","valve","Sellaphora mutata","DIAT",11,11
"2329","NISP",NA,"valve",12481,NA,"Diatoms","valve","Sellaphora rectangularis","DIAT",8,8
"2330","NISP",NA,"valve",12482,NA,"Diatoms","valve","Sellaphora seminulum","DIAT",166,155
"2331","NISP",NA,"valve",12483,NA,"Diatoms","valve","Staurosira construens","DIAT",596,459
"2332","NISP",NA,"valve",12484,NA,"Diatoms","valve","Staurosira construens var. binodis","DIAT",110,107
"2333","NISP",NA,"valve",12485,NA,"Diatoms","valve","Staurosira construens var. venter","DIAT",513,474
"2334","NISP",NA,"valve",12487,NA,"Diatoms","valve","Staurosirella leptostauron","DIAT",38,35
"2335","NISP",NA,"valve",12488,NA,"Diatoms","valve","Staurosirella lapponica","DIAT",44,43
"2336","NISP",NA,"valve",12489,NA,"Diatoms","valve","Staurosirella pinnata","DIAT",563,508
"2337","NISP",NA,"valve",12490,NA,"Diatoms","valve","Staurosirella pinnata var. intercedens","DIAT",15,15
"2338","NISP",NA,"valve",12491,NA,"Diatoms","valve","Staurosirella leptostauron var. dubia","DIAT",7,7
"2339","NISP",NA,"valve",12493,NA,"Diatoms","valve","Tryblionella debilis","DIAT",10,9
"2340","NISP",NA,"valve",12495,NA,"Diatoms","valve","Tryblionella aerophila","DIAT",1,1
"2341","NISP",NA,"valve",12496,NA,"Diatoms","valve","Tryblionella calida","DIAT",29,29
"2342","NISP",NA,"valve",12498,NA,"Diatoms","valve","Tryblionella apiculata","DIAT",4,4
"2343","NISP",NA,"valve",12499,NA,"Diatoms","valve","Tryblionella hungarica","DIAT",50,49
"2344","NISP",NA,"valve",12500,NA,"Diatoms","valve","Tryblionella littoralis","DIAT",5,5
"2345","NISP",NA,"valve",12501,NA,"Diatoms","valve","Tryblionella levidensis","DIAT",14,14
"2346","NISP",NA,"valve",12502,NA,"Diatoms","valve","Tryblionella victoriae","DIAT",14,14
"2347","NISP",NA,"valve",12504,NA,"Diatoms","valve","Navicula parabilis","DIAT",1,1
"2348","NISP",NA,"valve",12505,NA,"Diatoms","valve","Psammothidium bioretii","DIAT",110,67
"2349","NISP",NA,"valve",12506,NA,"Diatoms","valve","Psammothidium grischunum fo. daonensis","DIAT",47,46
"2350","NISP",NA,"valve",12507,NA,"Diatoms","valve","Psammothidium helveticum","DIAT",74,73
"2351","NISP",NA,"valve",12508,NA,"Diatoms","valve","Psammothidium lauenburgianum","DIAT",8,8
"2352","NISP",NA,"valve",12509,NA,"Diatoms","valve","Psammothidium marginulatum","DIAT",102,95
"2353","NISP",NA,"valve",12510,NA,"Diatoms","valve","Psammothidium abundans fo. rosenstockii","DIAT",11,11
"2354","NISP",NA,"valve",12511,NA,"Diatoms","valve","Psammothidium rossii","DIAT",54,51
"2355","NISP",NA,"valve",12512,NA,"Diatoms","valve","Psammothidium subatomoides","DIAT",300,228
"2356","NISP",NA,"valve",12513,NA,"Diatoms","valve","Psammothidium ventralis","DIAT",65,44
"2357","NISP",NA,"valve",12514,NA,"Diatoms","valve","Eucocconeis flexella","DIAT",96,88
"2358","NISP",NA,"valve",12515,NA,"Diatoms","valve","Eucocconeis laevis","DIAT",54,54
"2359","NISP",NA,"valve",12516,NA,"Diatoms","valve","Lemnicola hungarica","DIAT",32,31
"2360","NISP",NA,"valve",12517,NA,"Diatoms","valve","Cymbopleura cuspidata","DIAT",6,6
"2361","NISP",NA,"valve",12518,NA,"Diatoms","valve","Fragilariforma bicapitata","DIAT",19,19
"2362","NISP",NA,"valve",12519,NA,"Diatoms","valve","Fragilariforma constricta","DIAT",125,82
"2363","NISP",NA,"valve",12520,NA,"Diatoms","valve","Fragilariforma constricta fo. stricta","DIAT",50,25
"2364","NISP",NA,"valve",12522,NA,"Diatoms","valve","Fragilariforma hungarica var. tumida","DIAT",72,22
"2365","NISP",NA,"valve",12523,NA,"Diatoms","valve","Fragilariforma strangulata","DIAT",2,2
"2366","NISP",NA,"valve",12524,NA,"Diatoms","valve","Fragilariforma virescens","DIAT",64,61
"2367","NISP",NA,"valve",12525,NA,"Diatoms","valve","Placoneis abiskoensis","DIAT",7,7
"2368","NISP",NA,"valve",12526,NA,"Diatoms","valve","Placoneis pseudanglica","DIAT",8,8
"2369","NISP",NA,"valve",12527,NA,"Diatoms","valve","Placoneis clementioides","DIAT",1,1
"2370","NISP",NA,"valve",12528,NA,"Diatoms","valve","Placoneis clementis","DIAT",22,22
"2371","NISP",NA,"valve",12529,NA,"Diatoms","valve","Placoneis elginensis","DIAT",53,50
"2372","NISP",NA,"valve",12530,NA,"Diatoms","valve","Placoneis exigua","DIAT",7,7
"2373","NISP",NA,"valve",12531,NA,"Diatoms","valve","Placoneis explanata","DIAT",37,36
"2374","NISP",NA,"valve",12532,NA,"Diatoms","valve","Placoneis gastrum","DIAT",35,35
"2375","NISP",NA,"valve",12533,NA,"Diatoms","valve","Placoneis placentula","DIAT",11,11
"2376","NISP",NA,"valve",12534,NA,"Diatoms","valve","Cavinula cocconeiformis","DIAT",196,102
"2377","NISP",NA,"valve",12535,NA,"Diatoms","valve","Cavinula jaernefeltii","DIAT",26,25
"2378","NISP",NA,"valve",12536,NA,"Diatoms","valve","Cavinula pseudoscutiformis","DIAT",123,112
"2379","NISP",NA,"valve",12537,NA,"Diatoms","valve","Cavinula scutelloides","DIAT",22,22
"2380","NISP",NA,"valve",12538,NA,"Diatoms","valve","Cavinula scutiformis","DIAT",13,13
"2381","NISP",NA,"valve",12540,NA,"Diatoms","valve","Diadesmis confervacea","DIAT",44,40
"2382","NISP",NA,"valve",12541,NA,"Diatoms","valve","Diadesmis contenta","DIAT",26,25
"2383","NISP",NA,"valve",12542,NA,"Diatoms","valve","Diadesmis gallica","DIAT",1,1
"2384","NISP",NA,"valve",12544,NA,"Diatoms","valve","Diadesmis perpusilla","DIAT",3,3
"2385","NISP",NA,"valve",12546,NA,"Diatoms","valve","Kobayasiella subtilissima","DIAT",213,85
"2386","NISP",NA,"valve",12547,NA,"Diatoms","valve","Tabularia tabulata","DIAT",46,46
"2387","NISP",NA,"valve",12548,NA,"Diatoms","valve","Tabularia fasciculata","DIAT",43,41
"2388","NISP",NA,"valve",12550,NA,"Diatoms","valve","Encyonopsis cesatii","DIAT",110,97
"2389","NISP",NA,"valve",12551,NA,"Diatoms","valve","Encyonopsis microcephala","DIAT",243,229
"2390","NISP",NA,"valve",12557,NA,"Diatoms","valve","Navicula catalanogermanica","DIAT",1,1
"2391","NISP",NA,"valve",12558,NA,"Diatoms","valve","Gomphonema acutiusculum","DIAT",1,1
"2392","NISP",NA,"valve",12561,NA,"Diatoms","valve","Navicula stankovici","DIAT",4,3
"2393","NISP",NA,"valve",12562,NA,"Diatoms","valve","Navicula wiesneri","DIAT",2,2
"2394","NISP",NA,"valve",12563,NA,"Diatoms","valve","Synedra dilatata","DIAT",7,6
"2395","NISP",NA,"valve",12565,NA,"Diatoms","valve","Nitzschia prolongata var. hoehnkii","DIAT",1,1
"2396","NISP",NA,"valve",12566,NA,"Diatoms","valve","Orthoseira dendroteres","DIAT",1,1
"2397","NISP",NA,"valve",12568,NA,"Diatoms","valve","Cyclostephanos costatilimbus","DIAT",8,8
"2398","NISP",NA,"valve",12569,NA,"Diatoms","valve","Stephanodiscus vestibulis","DIAT",18,18
"2399","NISP",NA,"valve",12571,NA,"Diatoms","valve","Gomphonema patricki","DIAT",10,10
"2400","NISP",NA,"valve",12572,NA,"Diatoms","valve","Gomphonema kobayasii","DIAT",33,32
"2401","NISP",NA,"valve",12573,NA,"Diatoms","valve","Staurosirella berolinensis","DIAT",39,39
"2402","NISP",NA,"valve",12574,NA,"Diatoms","valve","Staurosira construens var. subsalina","DIAT",7,7
"2403","NISP",NA,"valve",12579,NA,"Diatoms","valve","Encyonema pergracile","DIAT",49,49
"2404","NISP",NA,"valve",12583,NA,"Diatoms","valve","Fragilaria alpestris","DIAT",4,4
"2405","NISP",NA,"valve",12584,NA,"Diatoms","valve","Nitzschia homburgiensis","DIAT",1,1
"2406","NISP",NA,"valve",12585,NA,"Diatoms","valve","Nitzschia archibaldii","DIAT",81,79
"2407","NISP",NA,"valve",12586,NA,"Diatoms","valve","Navicula heimansioides","DIAT",29,28
"2408","NISP",NA,"valve",12587,NA,"Diatoms","valve","Gomphonema pumilum var. rigidum","DIAT",2,2
"2409","NISP",NA,"valve",12588,NA,"Diatoms","valve","Gomphonema pygmaeum","DIAT",4,3
"2410","NISP",NA,"valve",12590,NA,"Diatoms","valve","Navicula lanceolata","DIAT",126,102
"2411","NISP",NA,"valve",12591,NA,"Diatoms","valve","Navicula microcari","DIAT",3,3
"2412","NISP",NA,"valve",12593,NA,"Diatoms","valve","Aulacoseira spp.","DIAT",78,78
"2413","NISP",NA,"valve",12594,NA,"Diatoms","valve","Gomphonema lagenula","DIAT",25,25
"2414","NISP",NA,"valve",12596,NA,"Diatoms","valve","Navicula radiosafallax","DIAT",4,4
"2415","NISP",NA,"valve",12600,NA,"Diatoms","valve","Cymbella budayana","DIAT",1,1
"2416","NISP",NA,"valve",12601,NA,"Diatoms","valve","Gomphonema pumilum var. elegans","DIAT",2,2
"2417","NISP",NA,"valve",12603,NA,"Diatoms","valve","Brachysira aponina","DIAT",2,2
"2418","NISP",NA,"valve",12611,NA,"Diatoms","valve","Gomphonema aquaemineralis","DIAT",1,1
"2419","NISP",NA,"valve",12613,NA,"Diatoms","valve","Gomphonema tumens","DIAT",2,2
"2420","NISP",NA,"valve",12616,NA,"Diatoms","valve","Aulacoseira herzogii","DIAT",16,15
"2421","NISP",NA,"valve",12617,NA,"Diatoms","valve","Aulacoseira nygaardii","DIAT",235,155
"2422","NISP",NA,"valve",12619,NA,"Diatoms","valve","Stephanodiscus binderanus","DIAT",2,2
"2423","NISP",NA,"valve",12621,NA,"Diatoms","valve","Pinnularia gibba var. linearis","DIAT",20,19
"2424","NISP",NA,"valve",12625,NA,"Diatoms","valve","Caloneis leptosoma","DIAT",1,1
"2425","NISP",NA,"valve",12626,NA,"Diatoms","valve","Caloneis pulchra","DIAT",1,1
"2426","NISP",NA,"valve",12631,NA,"Diatoms","valve","Surirella pinnata","DIAT",1,1
"2427","NISP",NA,"valve",12634,NA,"Diatoms","valve","Nitzschia gessneri","DIAT",2,2
"2428","NISP",NA,"valve",12640,NA,"Diatoms","valve","Craticula ambigua","DIAT",57,57
"2429","NISP",NA,"valve",12645,NA,"Diatoms","valve","Paralia sulcata","DIAT",3,3
"2430","NISP",NA,"valve",12647,NA,"Diatoms","valve","Cyclotella cryptica","DIAT",14,13
"2431","NISP",NA,"valve",12649,NA,"Diatoms","valve","Brachysira garrensis","DIAT",51,47
"2432","NISP",NA,"valve",12652,NA,"Diatoms","valve","Amphiprora spp.","DIAT",1,1
"2433","NISP",NA,"valve",12653,NA,"Diatoms","valve","Cyclotella cyclopuncta","DIAT",7,7
"2434","NISP",NA,"valve",12654,NA,"Diatoms","valve","Cyclotella krammeri","DIAT",5,5
"2435","NISP",NA,"valve",12655,NA,"Diatoms","valve","Cyclotella schumanni","DIAT",12,12
"2436","NISP",NA,"valve",12656,NA,"Diatoms","valve","Cyclotella tripartita","DIAT",41,28
"2437","NISP",NA,"valve",12657,NA,"Diatoms","valve","Cymbella naviculacea","DIAT",2,2
"2438","NISP",NA,"valve",12658,NA,"Diatoms","valve","Denticula spp.","DIAT",17,16
"2439","NISP",NA,"valve",12660,NA,"Diatoms","valve","Opephora spp.","DIAT",11,11
"2440","NISP",NA,"valve",12661,NA,"Diatoms","valve","Stephanodiscus binderanus var. oestrupii","DIAT",13,13
"2441","NISP",NA,"valve",12662,NA,"Diatoms","valve","Thalassiosira spp.","DIAT",3,3
"2442","NISP",NA,"valve",12663,NA,"Diatoms","valve","Eunotia nymanniana","DIAT",58,53
"2443","NISP",NA,"valve",12664,NA,"Diatoms","valve","Navicula glomus","DIAT",3,3
"2444","NISP",NA,"valve",12666,NA,"Diatoms","valve","Tetracyclus glans","DIAT",3,3
"2445","NISP",NA,"valve",12669,NA,"Diatoms","valve","Stauroneis subgracilis","DIAT",2,2
"2446","NISP",NA,"valve",12670,NA,"Diatoms","valve","Placoneis paraelginensis","DIAT",1,1
"2447","NISP",NA,"valve",12672,NA,"Diatoms","valve","Pinnularia pulchra var. angusta","DIAT",2,2
"2448","NISP",NA,"valve",12675,NA,"Diatoms","valve","Nitzschia rosenstockii","DIAT",5,4
"2449","NISP",NA,"valve",12676,NA,"Diatoms","valve","Navicula witkowskii","DIAT",9,8
"2450","NISP",NA,"valve",12677,NA,"Diatoms","valve","Navicula hintzii","DIAT",9,9
"2451","NISP",NA,"valve",12678,NA,"Diatoms","valve","Navicula arctotenelloides","DIAT",2,2
"2452","NISP",NA,"valve",12680,NA,"Diatoms","valve","Mastogloia spp.","DIAT",4,4
"2453","NISP",NA,"valve",12683,NA,"Diatoms","valve","Gomphonema drutelingense","DIAT",4,4
"2454","NISP",NA,"valve",12685,NA,"Diatoms","valve","Brachysira neoacuta","DIAT",10,10
"2455","NISP",NA,"valve",12686,NA,"Diatoms","valve","Gomphonema parvulum fo. saprophilum","DIAT",2,2
"2456","NISP",NA,"valve",12687,NA,"Diatoms","valve","Gomphonema italicum","DIAT",8,8
"2457","NISP",NA,"valve",12688,NA,"Diatoms","valve","Nupela lapidosa","DIAT",11,11
"2458","NISP",NA,"valve",12689,NA,"Diatoms","valve","Nupela wellneri","DIAT",33,33
"2459","NISP",NA,"valve",12716,NA,"Diatoms","valve","Brachysira spp.","DIAT",7,7
"2460","NISP",NA,"valve",12725,NA,"Diatoms","valve","Synedra cf. rumpens","DIAT",1,1
"2461","NISP",NA,"valve",12747,NA,"Diatoms","valve","Pinnularia pulchra","DIAT",1,1
"2462","NISP",NA,"valve",12748,NA,"Diatoms","valve","Achnanthidium pyrenaicum","DIAT",6,6
"2463","NISP",NA,"valve",12749,NA,"Diatoms","valve","Achnanthidium exiguum","DIAT",233,216
"2464","NISP",NA,"valve",12750,NA,"Diatoms","valve","Achnanthidium exiguum var. constrictum","DIAT",1,1
"2465","NISP",NA,"valve",12751,NA,"Diatoms","valve","Achnanthidium exiguum var. heterovalvum","DIAT",1,1
"2466","NISP",NA,"valve",12755,NA,"Diatoms","valve","Amphora copulata","DIAT",320,304
"2467","NISP",NA,"valve",12756,NA,"Diatoms","valve","Achnanthidium catenatum","DIAT",24,24
"2468","NISP",NA,"valve",12757,NA,"Diatoms","valve","Adlafia bryophila","DIAT",118,58
"2469","NISP",NA,"valve",12758,NA,"Diatoms","valve","Adlafia minuscula","DIAT",29,29
"2470","NISP",NA,"valve",12759,NA,"Diatoms","valve","Adlafia minuscula var. muralis","DIAT",54,42
"2471","NISP",NA,"valve",12760,NA,"Diatoms","valve","Adlafia suchlandtii","DIAT",4,4
"2472","NISP",NA,"valve",12762,NA,"Diatoms","valve","Biremis circumtexta","DIAT",12,12
"2473","NISP",NA,"valve",12763,NA,"Diatoms","valve","Psammothidium altaicum","DIAT",12,12
"2474","NISP",NA,"valve",12766,NA,"Diatoms","valve","Psammothidium chlidanos","DIAT",47,41
"2475","NISP",NA,"valve",12767,NA,"Diatoms","valve","Karayevia clevei var. rostrata","DIAT",1,1
"2476","NISP",NA,"valve",12769,NA,"Diatoms","valve","Planothidium delicatulum","DIAT",47,44
"2477","NISP",NA,"valve",12770,NA,"Diatoms","valve","Planothidium robustum","DIAT",1,1
"2478","NISP",NA,"valve",12771,NA,"Diatoms","valve","Psammothidium didymum","DIAT",54,53
"2479","NISP",NA,"valve",12773,NA,"Diatoms","valve","Planothidium distinctum","DIAT",2,2
"2480","NISP",NA,"valve",12774,NA,"Diatoms","valve","Planothidium engelbrechtii","DIAT",2,2
"2481","NISP",NA,"valve",12775,NA,"Diatoms","valve","Eucocconeis alpestris","DIAT",27,26
"2482","NISP",NA,"valve",12776,NA,"Diatoms","valve","Planothidium granum","DIAT",8,8
"2483","NISP",NA,"valve",12777,NA,"Diatoms","valve","Planothidium hauckianum","DIAT",3,3
"2484","NISP",NA,"valve",12778,NA,"Diatoms","valve","Planothidium joursacense","DIAT",12,12
"2485","NISP",NA,"valve",12779,NA,"Diatoms","valve","Psammothidium kuelbsii","DIAT",1,1
"2486","NISP",NA,"valve",12780,NA,"Diatoms","valve","Psammothidium lacus-vulcani","DIAT",6,6
"2487","NISP",NA,"valve",12781,NA,"Diatoms","valve","Planothidium frequentissimum","DIAT",217,202
"2488","NISP",NA,"valve",12782,NA,"Diatoms","valve","Planothidium rostratum","DIAT",49,49
"2489","NISP",NA,"valve",12783,NA,"Diatoms","valve","Planothidium apiculatum","DIAT",6,6
"2490","NISP",NA,"valve",12785,NA,"Diatoms","valve","Planothidium dubium","DIAT",7,7
"2491","NISP",NA,"valve",12787,NA,"Diatoms","valve","Planothidium minutissimum","DIAT",2,2
"2492","NISP",NA,"valve",12789,NA,"Diatoms","valve","Rossithidium linearis","DIAT",43,42
"2493","NISP",NA,"valve",12790,NA,"Diatoms","valve","Rossithidium pusillum","DIAT",203,156
"2494","NISP",NA,"valve",12792,NA,"Diatoms","valve","Planothidium oestrupii","DIAT",17,17
"2495","NISP",NA,"valve",12793,NA,"Diatoms","valve","Planothidium peragalli var. parvulum","DIAT",1,1
"2496","NISP",NA,"valve",12794,NA,"Diatoms","valve","Rossithidium petersennii","DIAT",12,12
"2497","NISP",NA,"valve",12795,NA,"Diatoms","valve","Psammothidium sacculum","DIAT",15,15
"2498","NISP",NA,"valve",12796,NA,"Diatoms","valve","Psammothidium scoticum","DIAT",61,61
"2499","NISP",NA,"valve",12798,NA,"Diatoms","valve","Puncticulata comta","DIAT",1,1
"2500","NISP",NA,"valve",12799,NA,"Diatoms","valve","Puncticulata radiosa","DIAT",22,22
"2501","NISP",NA,"valve",12800,NA,"Diatoms","valve","Encyonopsis falaisensis","DIAT",39,39
"2502","NISP",NA,"valve",12801,NA,"Diatoms","valve","Encyonema norvegicum","DIAT",2,2
"2503","NISP",NA,"valve",12802,NA,"Diatoms","valve","Pseudostaurosira brevistriata var. capitata","DIAT",3,2
"2504","NISP",NA,"valve",12803,NA,"Diatoms","valve","Pseudostaurosira brevistriata var. inflata","DIAT",12,12
"2505","NISP",NA,"valve",12804,NA,"Diatoms","valve","Stauroforma exiguiformis","DIAT",277,256
"2506","NISP",NA,"valve",12805,NA,"Diatoms","valve","Fragilariforma lata","DIAT",261,103
"2507","NISP",NA,"valve",12806,NA,"Diatoms","valve","Fragilariforma polygonata","DIAT",18,18
"2508","NISP",NA,"valve",12807,NA,"Diatoms","valve","Pseudostaurosira robusta","DIAT",14,14
"2509","NISP",NA,"valve",12810,NA,"Diatoms","valve","Frustulia amphipleuroides","DIAT",17,16
"2510","NISP",NA,"valve",12812,NA,"Diatoms","valve","Gomphosphenia grovei","DIAT",1,1
"2511","NISP",NA,"valve",12813,NA,"Diatoms","valve","Gomphosphenia grovei var. lingulata","DIAT",1,1
"2512","NISP",NA,"valve",12814,NA,"Diatoms","valve","Gomphosphenia lingulatiformis","DIAT",2,2
"2513","NISP",NA,"valve",12815,NA,"Diatoms","valve","Gomphonema exilissimum","DIAT",12,12
"2514","NISP",NA,"valve",12816,NA,"Diatoms","valve","Gomphonema parvulius","DIAT",33,31
"2515","NISP",NA,"valve",12817,NA,"Diatoms","valve","Gomphosphenia tackei","DIAT",4,4
"2516","NISP",NA,"valve",12818,NA,"Diatoms","valve","Geissleria acceptata","DIAT",56,56
"2517","NISP",NA,"valve",12819,NA,"Diatoms","valve","Mayamaea agrestis","DIAT",19,19
"2518","NISP",NA,"valve",12821,NA,"Diatoms","valve","Mayamaea atomus","DIAT",13,13
"2519","NISP",NA,"valve",12822,NA,"Diatoms","valve","Chamaepinnularia begeri","DIAT",7,7
"2520","NISP",NA,"valve",12823,NA,"Diatoms","valve","Chamaepinnularia bremensis","DIAT",41,40
"2521","NISP",NA,"valve",12824,NA,"Diatoms","valve","Hippodonta capitata","DIAT",169,167
"2522","NISP",NA,"valve",12825,NA,"Diatoms","valve","Hippodonta hungarica","DIAT",92,92
"2523","NISP",NA,"valve",12826,NA,"Diatoms","valve","Hippodonta lueneburgensis","DIAT",9,9
"2524","NISP",NA,"valve",12827,NA,"Diatoms","valve","Craticula citrus","DIAT",6,6
"2525","NISP",NA,"valve",12829,NA,"Diatoms","valve","Hippodonta costulata","DIAT",3,3
"2526","NISP",NA,"valve",12831,NA,"Diatoms","valve","Geissleria decussis","DIAT",34,34
"2527","NISP",NA,"valve",12833,NA,"Diatoms","valve","Chamaepinnularia evanida","DIAT",12,11
"2528","NISP",NA,"valve",12835,NA,"Diatoms","valve","Craticula halophilioides","DIAT",1,1
"2529","NISP",NA,"valve",12836,NA,"Diatoms","valve","Geissleria ignota","DIAT",15,15
"2530","NISP",NA,"valve",12839,NA,"Diatoms","valve","Microcostatus kuelbsii","DIAT",3,3
"2531","NISP",NA,"valve",12840,NA,"Diatoms","valve","Microcostatus krasskei","DIAT",17,13
"2532","NISP",NA,"valve",12841,NA,"Diatoms","valve","Geissleria kriegeri","DIAT",1,1
"2533","NISP",NA,"valve",12842,NA,"Diatoms","valve","Chamaepinnularia krookii","DIAT",2,2
"2534","NISP",NA,"valve",12844,NA,"Diatoms","valve","Cavinula lapidosa","DIAT",20,20
"2535","NISP",NA,"valve",12846,NA,"Diatoms","valve","Navicula vilaplanii","DIAT",4,4
"2536","NISP",NA,"valve",12848,NA,"Diatoms","valve","Chamaepinnularia mediocris","DIAT",292,171
"2537","NISP",NA,"valve",12849,NA,"Diatoms","valve","Navicula antonii","DIAT",33,32
"2538","NISP",NA,"valve",12850,NA,"Diatoms","valve","Navicula upsaliensis","DIAT",1,1
"2539","NISP",NA,"valve",12852,NA,"Diatoms","valve","Craticula molestiformis","DIAT",31,31
"2540","NISP",NA,"valve",12853,NA,"Diatoms","valve","Mayamaea muraliformis","DIAT",1,1
"2541","NISP",NA,"valve",12854,NA,"Diatoms","valve","Microcostatus naumannii","DIAT",1,1
"2542","NISP",NA,"valve",12855,NA,"Diatoms","valve","Luticola nivalis","DIAT",2,2
"2543","NISP",NA,"valve",12856,NA,"Diatoms","valve","Fistulifera pelliculosa","DIAT",3,3
"2544","NISP",NA,"valve",12857,NA,"Diatoms","valve","Decussata placenta","DIAT",6,6
"2545","NISP",NA,"valve",12858,NA,"Diatoms","valve","Parlibellus protracta","DIAT",12,12
"2546","NISP",NA,"valve",12860,NA,"Diatoms","valve","Craticula riparia","DIAT",1,1
"2547","NISP",NA,"valve",12862,NA,"Diatoms","valve","Geissleria schoenfeldii","DIAT",17,16
"2548","NISP",NA,"valve",12863,NA,"Diatoms","valve","Chamaepinnularia soehrensis","DIAT",12,7
"2549","NISP",NA,"valve",12864,NA,"Diatoms","valve","Chamaepinnularia soehrensis var. hassiaca","DIAT",67,40
"2550","NISP",NA,"valve",12865,NA,"Diatoms","valve","Chamaepinnularia soehrensis var. muscicola","DIAT",6,4
"2551","NISP",NA,"valve",12866,NA,"Diatoms","valve","Haslea spicula","DIAT",2,2
