,units,context,element,taxonid,symmetry,taxongroup,elementtype,variablename,replacement,ecologicalgroup,samples,sites
3009,NISP,NA,valve,36435,NA,Diatoms,valve,Gomphonema parvulum var. lagenula,,DIAT,3,3
1792,NISP,NA,valve,12571,NA,Diatoms,valve,Gomphonema patricki,,DIAT,10,10
2861,NISP,NA,valve,36071,NA,Diatoms,valve,Gomphonema patrickii,,DIAT,7,7
1987,NISP,NA,valve,12947,NA,Diatoms,valve,Gomphonema procerum,,DIAT,5,5
700,NISP,NA,valve,11058,NA,Diatoms,valve,Gomphonema productum,,DIAT,5,5
723,NISP,NA,valve,11095,NA,Diatoms,valve,Gomphonema pseudoaugur,,DIAT,13,13
726,NISP,NA,valve,11099,NA,Diatoms,valve,Gomphonema pseudotenellum,,DIAT,1,1
694,NISP,NA,valve,11047,NA,Diatoms,valve,Gomphonema puiggarianum,,DIAT,2,2
683,NISP,NA,valve,11029,NA,Diatoms,valve,Gomphonema puiggarianum var. aequatorialis,,DIAT,15,15
715,NISP,NA,valve,11083,NA,Diatoms,valve,Gomphonema pumilum,,DIAT,62,62
1809,NISP,NA,valve,12601,NA,Diatoms,valve,Gomphonema pumilum var. elegans,,DIAT,3,3
1801,NISP,NA,valve,12587,NA,Diatoms,valve,Gomphonema pumilum var. rigidum,,DIAT,2,2
2608,NISP,NA,valve,28931,NA,Diatoms,valve,Gomphonema punctata,,DIAT,11,8
3326,NISP,NA,valve,39034,NA,Diatoms,valve,Gomphonema pusillum,,DIAT,2,2
1802,NISP,NA,valve,12588,NA,Diatoms,valve,Gomphonema pygmaeum,,DIAT,4,3
684,NISP,NA,valve,11031,NA,Diatoms,valve,Gomphonema quadripunctatum,,DIAT,1,1
711,NISP,NA,valve,11076,NA,Diatoms,valve,Gomphonema rhombicum,,DIAT,18,18
721,NISP,NA,valve,11091,NA,Diatoms,valve,Gomphonema sarcophagus,,DIAT,11,11
3327,NISP,NA,valve,39035,NA,Diatoms,valve,Gomphonema sierranum,,DIAT,2,2
2474,NISP,NA,valve,27179,NA,Diatoms,valve,Gomphonema sp.,,DIAT,19,13
731,NISP,NA,valve,11105,NA,Diatoms,valve,Gomphonema sp. 1 ?,,DIAT,121,101
3104,NISP,NA,valve,38809,NA,Diatoms,valve,Gomphonema sp. 1 NE Lakes,,DIAT,2,2
2790,NISP,NA,valve,35860,NA,Diatoms,valve,Gomphonema sp. 1 NLA DB,,DIAT,1,1
3430,NISP,NA,valve,39298,NA,Diatoms,valve,Gomphonema sp. 1 NLS GDL,,DIAT,1,1
675,NISP,NA,valve,11021,NA,Diatoms,valve,Gomphonema sp. 1 PIRLA,,DIAT,34,25
691,NISP,NA,valve,11038,NA,Diatoms,valve,Gomphonema sp. 10 PIRLA,,DIAT,1,1
692,NISP,NA,valve,11039,NA,Diatoms,valve,Gomphonema sp. 11 PIRLA,,DIAT,5,5
3105,NISP,NA,valve,38810,NA,Diatoms,valve,Gomphonema sp. 12 NE Lakes,,DIAT,1,1
693,NISP,NA,valve,11040,NA,Diatoms,valve,Gomphonema sp. 12 PIRLA,,DIAT,1,1
3106,NISP,NA,valve,38811,NA,Diatoms,valve,Gomphonema sp. 13 NE Lakes,,DIAT,1,1
3107,NISP,NA,valve,38812,NA,Diatoms,valve,Gomphonema sp. 15 NE Lakes,,DIAT,1,1
3429,NISP,NA,valve,39297,NA,Diatoms,valve,Gomphonema sp. 15 SAVANNAH EAM,,DIAT,1,1
3108,NISP,NA,valve,38813,NA,Diatoms,valve,Gomphonema sp. 16 NE Lakes,,DIAT,8,8
3109,NISP,NA,valve,38814,NA,Diatoms,valve,Gomphonema sp. 18 NE Lakes,,DIAT,1,1
732,NISP,NA,valve,11106,NA,Diatoms,valve,Gomphonema sp. 2 ?,,DIAT,24,22
2458,NISP,NA,valve,27162,NA,Diatoms,valve,Gomphonema sp. 2 ANS NEW JERSEY KCP,,DIAT,2,2
676,NISP,NA,valve,11022,NA,Diatoms,valve,Gomphonema sp. 2 PIRLA,,DIAT,9,4
3110,NISP,NA,valve,38815,NA,Diatoms,valve,Gomphonema sp. 20 NE Lakes,,DIAT,1,1
696,NISP,NA,valve,11050,NA,Diatoms,valve,Gomphonema sp. 20 PIRLA,,DIAT,1,1
3111,NISP,NA,valve,38816,NA,Diatoms,valve,Gomphonema sp. 22 NE Lakes,,DIAT,4,4
3112,NISP,NA,valve,38817,NA,Diatoms,valve,Gomphonema sp. 23 NE Lakes,,DIAT,1,1
3113,NISP,NA,valve,38818,NA,Diatoms,valve,Gomphonema sp. 24 NE Lakes,,DIAT,1,1
3538,NISP,NA,valve,45634,NA,Diatoms,valve,Gomphonema sp. 26 NAWQA EAM,,DIAT,1,1
3114,NISP,NA,valve,38819,NA,Diatoms,valve,Gomphonema sp. 26 NE Lakes,,DIAT,1,1
2500,NISP,NA,valve,27443,NA,Diatoms,valve,Gomphonema sp. 27,,DIAT,1,1
2972,NISP,NA,valve,36376,NA,Diatoms,valve,Gomphonema sp. 29 NLA DB,,DIAT,1,1
733,NISP,NA,valve,11107,NA,Diatoms,valve,Gomphonema sp. 3 ?,,DIAT,5,5
3115,NISP,NA,valve,38820,NA,Diatoms,valve,Gomphonema sp. 3 NE Lakes,,DIAT,1,1
3494,NISP,NA,valve,45442,NA,Diatoms,valve,Gomphonema sp. 3 NLA DB,,DIAT,1,1
3564,NISP,NA,valve,45660,NA,Diatoms,valve,Gomphonema sp. 3 NLA EWT,,DIAT,1,1
680,NISP,NA,valve,11026,NA,Diatoms,valve,Gomphonema sp. 3 PIRLA,,DIAT,82,28
734,NISP,NA,valve,11108,NA,Diatoms,valve,Gomphonema sp. 4 ?,,DIAT,3,3
3495,NISP,NA,valve,45443,NA,Diatoms,valve,Gomphonema sp. 4 NLA DB,,DIAT,1,1
679,NISP,NA,valve,11025,NA,Diatoms,valve,Gomphonema sp. 4 PIRLA,,DIAT,21,11
3116,NISP,NA,valve,38821,NA,Diatoms,valve,Gomphonema sp. 6 NE Lakes,,DIAT,4,4
3117,NISP,NA,valve,38822,NA,Diatoms,valve,Gomphonema sp. 7 NE Lakes,,DIAT,2,2
688,NISP,NA,valve,11035,NA,Diatoms,valve,Gomphonema sp. 7 PIRLA,,DIAT,5,5
3118,NISP,NA,valve,38823,NA,Diatoms,valve,Gomphonema sp. 8 NE Lakes,,DIAT,6,6
689,NISP,NA,valve,11036,NA,Diatoms,valve,Gomphonema sp. 8 PIRLA,,DIAT,1,1
3470,NISP,NA,valve,41208,NA,Diatoms,valve,Gomphonema sp. 9 NE Lakes,,DIAT,1,1
690,NISP,NA,valve,11037,NA,Diatoms,valve,Gomphonema sp. 9 PIRLA,,DIAT,2,2
3328,NISP,NA,valve,39036,NA,Diatoms,valve,Gomphonema sp.42 SESQA,,DIAT,1,1
701,NISP,NA,valve,11059,NA,Diatoms,valve,Gomphonema sphaerophorum,,DIAT,7,7
730,NISP,NA,valve,11104,NA,Diatoms,valve,Gomphonema spp.,,DIAT,201,191
3711,percent,NA,valve,11104,NA,Diatoms,valve,Gomphonema spp.,,DIAT,16,16
685,NISP,NA,valve,11032,NA,Diatoms,valve,Gomphonema subclavatum,,DIAT,11,11
670,NISP,NA,valve,11016,NA,Diatoms,valve,Gomphonema subclavatum var. commutatum,,DIAT,3,3
671,NISP,NA,valve,11017,NA,Diatoms,valve,Gomphonema subtile,,DIAT,83,56
3707,percent,NA,valve,11017,NA,Diatoms,valve,Gomphonema subtile,,DIAT,1,1
698,NISP,NA,valve,11055,NA,Diatoms,valve,Gomphonema subtile var. sagitta,,DIAT,3,3
695,NISP,NA,valve,11048,NA,Diatoms,valve,Gomphonema tackei var. brevistriatum,,DIAT,15,15
2584,NISP,NA,valve,28555,NA,Diatoms,valve,Gomphonema tenellum,,DIAT,1,1
672,NISP,NA,valve,11018,NA,Diatoms,valve,Gomphonema tergestinum,,DIAT,3,3
681,NISP,NA,valve,11027,NA,Diatoms,valve,Gomphonema truncatum,,DIAT,91,90
3708,percent,NA,valve,11027,NA,Diatoms,valve,Gomphonema truncatum,,DIAT,5,5
3603,NISP,NA,valve,49161,NA,Diatoms,valve,Gomphonema truncatum sensu lato,,DIAT,13,13
673,NISP,NA,valve,11019,NA,Diatoms,valve,Gomphonema truncatum var. capitatum,,DIAT,1,1
674,NISP,NA,valve,11020,NA,Diatoms,valve,Gomphonema truncatum var. turgidum,,DIAT,5,5
1812,NISP,NA,valve,12613,NA,Diatoms,valve,Gomphonema tumens,,DIAT,2,2
2017,NISP,NA,valve,13046,NA,Diatoms,valve,Gomphonema turgidum,,DIAT,6,6
702,NISP,NA,valve,11060,NA,Diatoms,valve,Gomphonema turris,,DIAT,1,1
716,NISP,NA,valve,11084,NA,Diatoms,valve,Gomphonema variostriatum,,DIAT,57,53
687,NISP,NA,valve,11034,NA,Diatoms,valve,Gomphonema ventricosum,,DIAT,2,2
1970,NISP,NA,valve,12912,NA,Diatoms,valve,Gomphonema vibrioides,,DIAT,1,1
1904,NISP,NA,valve,12812,NA,Diatoms,valve,Gomphosphenia grovei,,DIAT,1,1
1905,NISP,NA,valve,12813,NA,Diatoms,valve,Gomphosphenia grovei var. lingulata,,DIAT,1,1
3329,NISP,NA,valve,39037,NA,Diatoms,valve,Gomphosphenia holmquistii,,DIAT,1,1
1906,NISP,NA,valve,12814,NA,Diatoms,valve,Gomphosphenia lingulatiformis,,DIAT,2,2
3438,NISP,NA,valve,39307,NA,Diatoms,valve,Gomphosphenia spp.,,DIAT,1,1
1909,NISP,NA,valve,12817,NA,Diatoms,valve,Gomphosphenia tackei,,DIAT,4,4
3330,NISP,NA,valve,39038,NA,Diatoms,valve,Grunowia solgensis,,DIAT,6,6
735,NISP,NA,valve,11110,NA,Diatoms,valve,Gyrosigma acuminatum,,DIAT,118,104
3712,percent,NA,valve,11110,NA,Diatoms,valve,Gyrosigma acuminatum,,DIAT,1,1
3801,present/absent,NA,valve,11110,NA,Diatoms,valve,Gyrosigma acuminatum,,DIAT,1,1
739,NISP,NA,valve,11114,NA,Diatoms,valve,Gyrosigma attenuatum,,DIAT,12,12
2245,NISP,NA,valve,24998,NA,Diatoms,valve,Gyrosigma balticum,,DIAT,17,17
741,NISP,NA,valve,11120,NA,Diatoms,valve,Gyrosigma macrum,,DIAT,1,1
2362,NISP,NA,valve,25365,NA,Diatoms,valve,Gyrosigma nodiferum,,DIAT,20,20
740,NISP,NA,valve,11115,NA,Diatoms,valve,Gyrosigma obscurum,,DIAT,29,29
737,NISP,NA,valve,11112,NA,Diatoms,valve,Gyrosigma obtusatum,,DIAT,5,5
743,NISP,NA,valve,11122,NA,Diatoms,valve,Gyrosigma sciotoense,,DIAT,1,1
2485,NISP,NA,valve,27190,NA,Diatoms,valve,Gyrosigma sp.,,DIAT,1,1
745,NISP,NA,valve,11125,NA,Diatoms,valve,Gyrosigma sp. 1 ?,,DIAT,1,1
2862,NISP,NA,valve,36077,NA,Diatoms,valve,Gyrosigma sp. 1 NLA JPK,,DIAT,1,1
738,NISP,NA,valve,11113,NA,Diatoms,valve,Gyrosigma spencerii,,DIAT,22,22
736,NISP,NA,valve,11111,NA,Diatoms,valve,Gyrosigma spencerii var. curvula,,DIAT,12,12
744,NISP,NA,valve,11124,NA,Diatoms,valve,Gyrosigma spp.,,DIAT,46,28
742,NISP,NA,valve,11121,NA,Diatoms,valve,Gyrosigma wormleyi,,DIAT,1,1
2104,NISP,NA,valve,13221,NA,Diatoms,valve,Halamphora coffeaeformis,,DIAT,1,1
2106,NISP,NA,valve,13224,NA,Diatoms,valve,Halamphora montana,,DIAT,4,4
2107,NISP,NA,valve,13230,NA,Diatoms,valve,Halamphora thumensis,,DIAT,5,5
2108,NISP,NA,valve,13234,NA,Diatoms,valve,Halamphora veneta,,DIAT,1,1
746,NISP,NA,valve,11126,NA,Diatoms,valve,Hannaea arcus,,DIAT,29,29
3331,NISP,NA,valve,39039,NA,Diatoms,valve,Hantzschia abundans,,DIAT,1,1
748,NISP,NA,valve,11129,NA,Diatoms,valve,Hantzschia amphioxys,,DIAT,161,109
3713,percent,NA,valve,11129,NA,Diatoms,valve,Hantzschia amphioxys,,DIAT,1,1
749,NISP,NA,valve,11130,NA,Diatoms,valve,Hantzschia amphioxys var. vivax,,DIAT,1,1
747,NISP,NA,valve,11128,NA,Diatoms,valve,Hantzschia elongata,,DIAT,3,3
752,NISP,NA,valve,11135,NA,Diatoms,valve,Hantzschia sp. 1?,,DIAT,4,4
3119,NISP,NA,valve,38824,NA,Diatoms,valve,Hantzschia sp. 2 NE Lakes,,DIAT,1,1
751,NISP,NA,valve,11134,NA,Diatoms,valve,Hantzschia spectabilis,,DIAT,2,2
2163,NISP,NA,valve,24294,NA,Diatoms,valve,Hantzschia spp.,,DIAT,8,4
2756,NISP,NA,valve,31088,NA,Diatoms,valve,Hantzschia virgata var. capitellata,,DIAT,1,1
750,NISP,NA,valve,11133,NA,Diatoms,valve,Hantzschia vivax,,DIAT,1,1
3645,mg/L,NA,NA,27430,NA,Aquatic parameters,NA,Hardness,,WCHM,1,1
1945,NISP,NA,valve,12866,NA,Diatoms,valve,Haslea spicula,,DIAT,2,2
1915,NISP,NA,valve,12824,NA,Diatoms,valve,Hippodonta capitata,,DIAT,168,166
3332,NISP,NA,valve,39040,NA,Diatoms,valve,Hippodonta capitata ssp. iberoamericana,,DIAT,4,4
2973,NISP,NA,valve,36378,NA,Diatoms,valve,Hippodonta cf. subcostulata NLA JPK,,DIAT,1,1
1919,NISP,NA,valve,12829,NA,Diatoms,valve,Hippodonta costulata,,DIAT,6,6
1916,NISP,NA,valve,12825,NA,Diatoms,valve,Hippodonta hungarica,,DIAT,104,104
1917,NISP,NA,valve,12826,NA,Diatoms,valve,Hippodonta lueneburgensis,,DIAT,9,9
3333,NISP,NA,valve,39041,NA,Diatoms,valve,Hippodonta pseudacceptata,,DIAT,2,2
2823,NISP,NA,valve,35943,NA,Diatoms,valve,Hippodonta spp.,,DIAT,3,3
2776,NISP,NA,valve,35388,NA,Diatoms,valve,Humidophila brekkaensis,,DIAT,3,3
2436,NISP,NA,valve,27103,NA,Diatoms,valve,Humidophila perpusilla,,DIAT,2,2
3334,NISP,NA,valve,39042,NA,Diatoms,valve,Humidophila schmassmanni,,DIAT,7,7
3120,NISP,NA,valve,38825,NA,Diatoms,valve,Humidophila sp. 1 NE Lakes,,DIAT,21,21
1954,NISP,NA,valve,12877,NA,Diatoms,valve,Hygropetra balfouriana,,DIAT,20,20
2352,NISP,NA,valve,25311,NA,Diatoms,valve,Hygropetra cf. balfouriana,,DIAT,8,8
3335,NISP,NA,valve,39043,NA,Diatoms,valve,Hygropetra elongata,,DIAT,2,2
3336,NISP,NA,valve,39044,NA,Diatoms,valve,Iconella gradifera,,DIAT,2,2
1975,NISP,NA,valve,12931,NA,Diatoms,valve,Karayevia amoena,,DIAT,1,1
2016,NISP,NA,valve,13044,NA,Diatoms,valve,Karayevia bottnica,,DIAT,5,5
1976,NISP,NA,valve,12932,NA,Diatoms,valve,Karayevia carissima,,DIAT,4,4
1705,NISP,NA,valve,12460,NA,Diatoms,valve,Karayevia clevei,,DIAT,104,102
1869,NISP,NA,valve,12767,NA,Diatoms,valve,Karayevia clevei var. rostrata,,DIAT,8,8
1706,NISP,NA,valve,12461,NA,Diatoms,valve,Karayevia laterostrata,,DIAT,38,38
2103,NISP,NA,valve,13217,NA,Diatoms,valve,Karayevia oblongella,,DIAT,5,5
1978,NISP,NA,valve,12935,NA,Diatoms,valve,Karayevia ploenensis,,DIAT,2,2
3337,NISP,NA,valve,39045,NA,Diatoms,valve,Karayevia ploenensis var. gessneri,,DIAT,6,6
3447,NISP,NA,valve,41072,NA,Diatoms,valve,Karayevia submarina,,DIAT,1,1
1977,NISP,NA,valve,12934,NA,Diatoms,valve,Karayevia suchlandtii,,DIAT,35,33
3010,NISP,NA,valve,36436,NA,Diatoms,valve,Kobayasia sp. 11 NLS GDL cf. parasubtilissima,,DIAT,2,2
1971,NISP,NA,valve,12921,NA,Diatoms,valve,Kobayasiella jaagii,,DIAT,8,8
2099,NISP,NA,valve,13207,NA,Diatoms,valve,Kobayasiella madumensis,,DIAT,18,18
3338,NISP,NA,valve,39046,NA,Diatoms,valve,Kobayasiella micropunctata,,DIAT,9,9
2990,NISP,NA,valve,36415,NA,Diatoms,valve,Kobayasiella sp. 1 NLA JPK,,DIAT,1,1
1778,NISP,NA,valve,12546,NA,Diatoms,valve,Kobayasiella subtilissima,,DIAT,186,58
2068,NISP,NA,valve,13128,NA,Diatoms,valve,Kobayasiella venezuelensis,,DIAT,4,4
2492,NISP,NA,valve,27227,NA,Diatoms,valve,Kolbesia suchlandtii,,DIAT,3,3
753,NISP,NA,valve,11137,NA,Diatoms,valve,Krasskella kriegerana,,DIAT,82,35
3448,NISP,NA,valve,41075,NA,Diatoms,valve,Kurtkrammeria aequalis,,DIAT,1,1
3339,NISP,NA,valve,39051,NA,Diatoms,valve,Kurtkrammeria recta,,DIAT,2,2
3340,NISP,NA,valve,39053,NA,Diatoms,valve,Lacustriella lacustris,,DIAT,3,3
1752,NISP,NA,valve,12516,NA,Diatoms,valve,Lemnicola hungarica,,DIAT,32,31
2439,NISP,NA,valve,27109,NA,Diatoms,valve,Lindavia comensis,,DIAT,25,20
3341,NISP,NA,valve,39054,NA,Diatoms,valve,Lindavia intermedia,,DIAT,102,86
2440,NISP,NA,valve,27110,NA,Diatoms,valve,Lindavia michiganiana,,DIAT,75,60
2441,NISP,NA,valve,27111,NA,Diatoms,valve,Lindavia ocellata,,DIAT,17,14
2442,NISP,NA,valve,27112,NA,Diatoms,valve,Lindavia rossii,,DIAT,7,7
3449,NISP,NA,valve,41076,NA,Diatoms,valve,Lindavia tripartita,,DIAT,1,1
1709,NISP,NA,valve,12464,NA,Diatoms,valve,Luticola cohnii,,DIAT,1,1
1710,NISP,NA,valve,12465,NA,Diatoms,valve,Luticola goeppertiana,,DIAT,9,9
3342,NISP,NA,valve,39055,NA,Diatoms,valve,Luticola grupcei,,DIAT,1,1
1707,NISP,NA,valve,12462,NA,Diatoms,valve,Luticola mutica,,DIAT,57,56
1936,NISP,NA,valve,12855,NA,Diatoms,valve,Luticola nivalis,,DIAT,2,2
2167,NISP,NA,valve,24351,NA,Diatoms,valve,Luticola spp.,,DIAT,1,1
1708,NISP,NA,valve,12463,NA,Diatoms,valve,Luticola ventricosa,,DIAT,2,2
3632,mg/L,NA,lab,21265,NA,Water chemistry,lab,Magnesium ions,,WCHM,2,2
758,NISP,NA,valve,11143,NA,Diatoms,valve,Mastogloia elliptica,,DIAT,22,22
754,NISP,NA,valve,11138,NA,Diatoms,valve,Mastogloia elliptica var. danseii,,DIAT,12,12
757,NISP,NA,valve,11142,NA,Diatoms,valve,Mastogloia grevillei,,DIAT,5,5
3343,NISP,NA,valve,39056,NA,Diatoms,valve,Mastogloia lacustris,,DIAT,2,2
2863,NISP,NA,valve,36078,NA,Diatoms,valve,Mastogloia lanceolata,,DIAT,1,1
755,NISP,NA,valve,11139,NA,Diatoms,valve,Mastogloia smithii,,DIAT,55,55
3714,percent,NA,valve,11139,NA,Diatoms,valve,Mastogloia smithii,,DIAT,2,2
756,NISP,NA,valve,11141,NA,Diatoms,valve,Mastogloia smithii var. lacustris,,DIAT,42,42
3524,NISP,NA,valve,45615,NA,Diatoms,valve,Mastogloia sp. 1 NLS PJG cf. pumila,,DIAT,1,1
2393,NISP,NA,valve,26979,NA,Diatoms,valve,Mastogloia sp. 1?,,DIAT,1,1
1846,NISP,NA,valve,12680,NA,Diatoms,valve,Mastogloia spp.,,DIAT,4,4
1911,NISP,NA,valve,12819,NA,Diatoms,valve,Mayamaea agrestis,,DIAT,19,19
3463,NISP,NA,valve,41194,NA,Diatoms,valve,Mayamaea alcimonica,,DIAT,1,1
1912,NISP,NA,valve,12821,NA,Diatoms,valve,Mayamaea atomus,,DIAT,13,13
2417,NISP,NA,valve,27006,NA,Diatoms,valve,Mayamaea atomus var. permitis,,DIAT,14,14
1934,NISP,NA,valve,12853,NA,Diatoms,valve,Mayamaea muraliformis,,DIAT,1,1
3465,NISP,NA,valve,41202,NA,Diatoms,valve,Mayamaea sp. 1?,,DIAT,1,1
3582,NISP,NA,valve,45844,NA,Diatoms,valve,Mayamaea spp.,,DIAT,1,1
759,NISP,NA,valve,11145,NA,Diatoms,valve,Melosira ambigua,Aulacoseira ambigua,DIAT,108,76
2330,NISP,NA,valve,25174,NA,Diatoms,valve,Melosira arentii,,DIAT,45,15
785,NISP,NA,valve,11174,NA,Diatoms,valve,Melosira cf. goetzeana,,DIAT,6,6
798,NISP,NA,valve,11195,NA,Diatoms,valve,Melosira dendrophila,,DIAT,1,1
760,NISP,NA,valve,11146,NA,Diatoms,valve,Melosira distans,Aulacoseira distans,DIAT,163,86
2606,NISP,NA,valve,28924,NA,Diatoms,valve,Melosira distans humilis,Aulacoseira distans var. humilis,DIAT,2,2
780,NISP,NA,valve,11169,NA,Diatoms,valve,Melosira distans var. 1 PIRLA,,DIAT,3,3
784,NISP,NA,valve,11173,NA,Diatoms,valve,Melosira distans var. 2 PIRLA,,DIAT,25,13
782,NISP,NA,valve,11171,NA,Diatoms,valve,Melosira distans var. 3 PIRLA,,DIAT,9,6
783,NISP,NA,valve,11172,NA,Diatoms,valve,Melosira distans var. 4 PIRLA,,DIAT,8,7
790,NISP,NA,valve,11183,NA,Diatoms,valve,Melosira distans var. 6 PIRLA,,DIAT,1,1
761,NISP,NA,valve,11147,NA,Diatoms,valve,Melosira distans var. africana,,DIAT,1,1
2746,NISP,NA,valve,31016,NA,Diatoms,valve,Melosira distans var. africana (small) SER ADIR,,DIAT,13,1
762,NISP,NA,valve,11148,NA,Diatoms,valve,Melosira distans var. alpigena,,DIAT,3,2
2623,NISP,NA,valve,29680,NA,Diatoms,valve,Melosira distans var. humilis,,DIAT,77,30
2747,NISP,NA,valve,31018,NA,Diatoms,valve,Melosira distans var. lirata,,DIAT,5,1
2748,NISP,NA,valve,31019,NA,Diatoms,valve,Melosira distans var. lirata fo. seriata,,DIAT,9,1
781,NISP,NA,valve,11170,NA,Diatoms,valve,Melosira distans var. nivalis,Aulacoseira distans var. nivalis,DIAT,91,65
776,NISP,NA,valve,11164,NA,Diatoms,valve,Melosira distans var. nivaloides,Aulacoseira distans var. nivaloides,DIAT,306,84
773,NISP,NA,valve,11160,NA,Diatoms,valve,Melosira distans var. tenella,Aulacoseira distans var. tenella,DIAT,91,56
788,NISP,NA,valve,11181,NA,Diatoms,valve,Melosira distans vars.,,DIAT,8,8
2631,NISP,NA,valve,29783,NA,Diatoms,valve,Melosira goetzeana,,DIAT,7,1
763,NISP,NA,valve,11149,NA,Diatoms,valve,Melosira granulata,Aulacoseira granulata,DIAT,1,1
764,NISP,NA,valve,11151,NA,Diatoms,valve,Melosira islandica,Aulacoseira islandica,DIAT,1,1
765,NISP,NA,valve,11152,NA,Diatoms,valve,Melosira islandica subsp. helvetica,,DIAT,1,1
766,NISP,NA,valve,11153,NA,Diatoms,valve,Melosira italica,Aulacoseira italica,DIAT,17,17
767,NISP,NA,valve,11154,NA,Diatoms,valve,Melosira italica subsp. subarctica,Aulacoseira italica var. subarctica,DIAT,51,40
787,NISP,NA,valve,11180,NA,Diatoms,valve,Melosira italica subsp. subarctica fo. tenuissima,,DIAT,10,10
768,NISP,NA,valve,11155,NA,Diatoms,valve,Melosira italica var. valida,,DIAT,18,17
769,NISP,NA,valve,11156,NA,Diatoms,valve,Melosira lirata,Aulacoseira lirata,DIAT,128,88
786,NISP,NA,valve,11175,NA,Diatoms,valve,Melosira lirata fo. biseriata,Aulacoseira lirata var. biseriata,DIAT,44,26
789,NISP,NA,valve,11182,NA,Diatoms,valve,Melosira lirata var. 1 PIRLA,,DIAT,3,3
770,NISP,NA,valve,11157,NA,Diatoms,valve,Melosira lirata var. lacustris,Aulacoseira lirata var. lacustris,DIAT,42,38
3344,NISP,NA,valve,39057,NA,Diatoms,valve,Melosira normannii,,DIAT,2,2
799,NISP,NA,valve,11202,NA,Diatoms,valve,Melosira nummuloides,,DIAT,1,1
777,NISP,NA,valve,11165,NA,Diatoms,valve,Melosira nygaardii,Aulacoseira nygaardii,DIAT,353,102
774,NISP,NA,valve,11162,NA,Diatoms,valve,Melosira perglabra,Aulacoseira perglabra,DIAT,105,76
772,NISP,NA,valve,11159,NA,Diatoms,valve,Melosira perglabra var. floriniae,Aulacoseira perglabra var. florinae,DIAT,94,72
792,NISP,NA,valve,11186,NA,Diatoms,valve,Melosira roeseana,,DIAT,1,1
797,NISP,NA,valve,11192,NA,Diatoms,valve,Melosira roeseana var. epidendron,,DIAT,2,2
2708,NISP,NA,valve,30800,NA,Diatoms,valve,Melosira sp.,,DIAT,3,2
802,NISP,NA,valve,11208,NA,Diatoms,valve,Melosira sp. 1 ?,,DIAT,99,46
779,NISP,NA,valve,11167,NA,Diatoms,valve,Melosira sp. 1 PIRLA,,DIAT,65,38
796,NISP,NA,valve,11191,NA,Diatoms,valve,Melosira sp. 11 PIRLA,,DIAT,1,1
771,NISP,NA,valve,11158,NA,Diatoms,valve,Melosira sp. 13 PIRLA,,DIAT,7,7
803,NISP,NA,valve,11209,NA,Diatoms,valve,Melosira sp. 2 ?,,DIAT,44,22
791,NISP,NA,valve,11184,NA,Diatoms,valve,Melosira sp. 2 PIRLA,,DIAT,2,2
804,NISP,NA,valve,11210,NA,Diatoms,valve,Melosira sp. 3 ?,,DIAT,16,10
805,NISP,NA,valve,11211,NA,Diatoms,valve,Melosira sp. 4 ?,,DIAT,4,3
793,NISP,NA,valve,11188,NA,Diatoms,valve,Melosira sp. 4 PIRLA,,DIAT,12,12
778,NISP,NA,valve,11166,NA,Diatoms,valve,Melosira sp. 5 PIRLA,,DIAT,3,3
794,NISP,NA,valve,11189,NA,Diatoms,valve,Melosira sp. 6 PIRLA,,DIAT,1,1
795,NISP,NA,valve,11190,NA,Diatoms,valve,Melosira sp. 8 PIRLA,,DIAT,27,27
775,NISP,NA,valve,11163,NA,Diatoms,valve,Melosira sp. 9 PIRLA,,DIAT,13,11
801,NISP,NA,valve,11207,NA,Diatoms,valve,Melosira spp.,,DIAT,74,52
800,NISP,NA,valve,11204,NA,Diatoms,valve,Melosira varians,,DIAT,99,94
3345,NISP,NA,valve,39058,NA,Diatoms,valve,Meridion alansmithii,,DIAT,3,3
2443,NISP,NA,valve,27114,NA,Diatoms,valve,Meridion anceps,,DIAT,3,3
806,NISP,NA,valve,11213,NA,Diatoms,valve,Meridion circulare,,DIAT,227,146
3715,percent,NA,valve,11213,NA,Diatoms,valve,Meridion circulare,,DIAT,1,1
807,NISP,NA,valve,11214,NA,Diatoms,valve,Meridion circulare var. constrictum,,DIAT,91,84
1925,NISP,NA,valve,12840,NA,Diatoms,valve,Microcostatus krasskei,,DIAT,23,19
1924,NISP,NA,valve,12839,NA,Diatoms,valve,Microcostatus kuelbsii,,DIAT,3,3
2438,NISP,NA,valve,27108,NA,Diatoms,valve,Microcostatus maceria,,DIAT,1,1
1935,NISP,NA,valve,12854,NA,Diatoms,valve,Microcostatus naumannii,,DIAT,1,1
895,NISP,NA,valve,11304,NA,Diatoms,valve,Navicula aboensis,,DIAT,331,45
1048,NISP,NA,valve,11554,NA,Diatoms,valve,Navicula absoluta,,DIAT,37,35
808,NISP,NA,valve,11215,NA,Diatoms,valve,Navicula acceptata,,DIAT,4,4
1020,NISP,NA,valve,11501,NA,Diatoms,valve,Navicula accommoda,,DIAT,2,1
2667,NISP,NA,valve,29897,NA,Diatoms,valve,Navicula aff. cryptotenella,,DIAT,2,2
3596,NISP,NA,valve,47993,NA,Diatoms,valve,Navicula aff. disjuncta (pl. 19 #13-14 PISCES),,DIAT,8,8
